ID,TITLE,PUBLISHER,TIMESTAMP
1,"Fed official says weak data caused by weather, should not slow taper",Los Angeles Times,1394470370698
2,Fed's Charles Plosser sees high bar for change in pace of tapering,Livemint,1394470371207
3,US open: Stocks fall after Fed official hints at accelerated tapering,IFA Magazine,1394470371550
4,"Fed risks falling 'behind the curve', Charles Plosser says",IFA Magazine,1394470371793
5,Fed's Plosser: Nasty Weather Has Curbed Job Growth,Moneynews,1394470372027
6,Plosser: Fed May Have to Accelerate Tapering Pace,NASDAQ,1394470372212
7,Fed's Plosser: Taper pace may be too slow,MarketWatch,1394470372405
8,Fed's Plosser expects US unemployment to fall to 6.2% by the end of 2014,FXstreet.com,1394470372615
9,US jobs growth last month hit by weather:Fed President Charles Plosser,Economic Times,1394470372792
10,ECB unlikely to end sterilisation of SMP purchases - traders,Interactive Investor,1394470501265
11,ECB unlikely to end sterilization of SMP purchases: traders,Reuters India,1394470501410
12,EU's half-baked bank union could work,Reuters UK \(blog\),1394470501587
13,Europe reaches crunch point on banking union,Reuters,1394470501755
14,ECB FOCUS-Stronger euro drowns out ECB's message to keep rates low for  ...,Reuters,1394470501948
15,EU aims for deal on tackling failing banks,Oman Daily Observer,1394470502141
16,Forex - Pound drops to one-month lows against euro,NASDAQ,1394470502316
17,Noyer Says Strong Euro Creates Unwarranted Economic Pressure,San Francisco Chronicle,1394470502543
18,"EU Week Ahead March 10-14: Bank Resolution, Transparency, Ukraine",Wall Street Journal \(blog\),1394470502744
19,ECB member Noyer is 'very open to all kinds of tools',IFA Magazine,1394470502946
20,"Euro Anxieties Wane as Bunds Top Treasuries, Spain Debt Rallies",Businessweek,1394470503148
21,Noyer Says Strong Euro Creates Unwarranted Economic Pressure (1),Businessweek,1394470503366
22,Noyer Says Stronger Euro Creates Unwarranted Pressure on Economy,San Francisco Chronicle,1394470503543
23,Bad loan triggers key feature in ECB bank test announcement: sources,GlobalPost,1394470503726
24,"China's trade deficit and structural worries in Europe, among the main issues",FXstreet.com,1394470503887
25,10 Things You Need To Know This Morning,Business Insider,1394470504080
26,ECB's Noyer not Happy With Euro Strength -- Update,Wall Street Journal,1394470504274
27,Eurozone banks' sovereign exposure hits new high,Kathimerini,1394470504506
28,ECB to reveal bad loan hurdles for euro zone bank test,Irish Times,1394470504683
29,Forex Market: EUR/USD retreats from 2-1/2-year highs as stronger euro seen  ...,Binary Tribune,1394470504893
30,REFILE-Bad loan triggers key feature in ECB bank test announcement- sources,Reuters,1394470505070
31,UPDATE 1-ECB to reveal bad loan hurdles for euro zone bank test -sources,Reuters,1394470505314
32,ECB to reveal bad loan hurdles for euro zone bank test - sources,euronews,1394470505541
33,ECB requires tougher call on bad loan definition,IFA Magazine,1394470505699
34,ECB to reveal bad loan hurdles for bank tests?,RTE.ie,1394470505885
35,10 Things You Need To Know Before The Opening Bell,Businessinsider India,1394470506062
36,Central banks must contain threats from low prices: ECB's Noyer,Reuters,1394470506238
37,UPDATE 1-Central banks must contain threat from low prices -Noyer,Reuters,1394470506431
38,ECB's Noyer says 'not happy' with euro's rise,Reuters,1394470506642
39,ECB's Noyer: Low inflation may hamper adjustment,MarketWatch,1394470506843
40,ECB's Christian Noyer says 'not happy' with euro's rise,Economic Times,1394470507053
41,Sterling at one-month low as ECB policy stance lifts euro,Economic Times,1394470507272
42,EU aims for deal on tackling failing banks next week,MSN Money,1394470507481
43,Failing banks focus of EU talks,Irish Examiner,1394470507666
44,Business growth in euro zone rises to 32-month high,Oman Daily Observer,1394470507843
45,Poking the eurozone bear,European Voice,1394470508027
46,ECB Unlocks Door for Further Euro Strength - Will Data Allow?,DailyFX,1394470508177
47,Omega's Cooperman says eBay should spin off portion of PayPal: CNBC,Chicago Tribune,1394470920294
48,"EBay, Icahn talk smack",Seattle Post Intelligencer \(blog\),1394470920473
49,Both ways,Business Standard,1394470920633
50,Why eBay Spinning Off Paypal Makes Sense,DailyFinance,1394470920827
51,Carl Icahn Rift Hurts eBay (EBAY),TheStreet.com,1394470921011
52,EBay rejects Icahn slate of directors,News Sentinel,1394470921171
53,CARL ICAHN: eBay Shareholders Lost $4 Billion Because Of The CEO's  ...,Businessinsider India,1394470921323
54,Ebay to Shareholders: Vote Against Icahn Nominees,Fox Business,1394470921533
55,"EBay rejects Icahn board nominees, asks investors to do same",Reuters,1394470921709
56,Icahn Targets Ebay Chief Donahoe After Company Rejects Board Slate,Forbes,1394470921918
57,TECH STOCKS: EBay And Icahn Keep Trading Punches,Capital.gr \(press release\),1394470922077
58,EBay asks shareholders to vote against Carl Icahn board nominees,Economic Times,1394470922229
59,EBay asks shareholders to vote against Icahn board nominees,bnn.ca,1394470922422
60,EBay and Icahn keep trading punches,MarketWatch,1394470922573
61,EBay Rejects Icahn Board Picks As Activist Strikes Again,Law360 \(subscription\),1394470922783
62,EBay Asks Shareholders To Vote Against PayPal Split While Icahn Claims CEO  ...,TechCrunch,1394470922918
63,"EBay rejects Carl Icahn's director nominees, urges reelection of its 4 directors",GlobalPost,1394470923069
64,EBay CEO Donahoe's Pay Drops by 53% to $13.8 Million for 2013,Businessweek,1394470923237
65,eBay Rejects Carl Icahn's Board Nominees And Says His Attacks Are 'False And  ...,Businessinsider India,1394470923475
66,"EBay rejects Carl Icahn board nominees, asks investors to do same",Livemint,1394470923708
67,"eBay's John Donahoe talks Icahn, conflicts, and $100 stock price (someday)",Fortune,1394470923910
68,EBay urgest shareholders to reject Icahn's board nominees,CNBC.com,1394470924078
69,Carl Icahn slams eBay CEO,CITY A.M. \(blog\),1394470924237
70,Icahn Claims Inexcusable Incompetence of eBay CEO Cost Stockholders $4 Billion,Wall Street Pit,1394470924548
71,"EBay rejects Carl Icahn's director nominees, urges reelection of its 4 directors  ...",The Tribune,1394470924716
72,"UPDATE 1-EBay rejects Icahn board nominees, asks investors to do same",Reuters,1394470924842
73,"EBay rejects Icahn board nominees, urges investors to do same",The Globe and Mail,1394470925019
74,Carl Icahn: Donahoe Cost eBay Investors More Than $4B,ValueWalk,1394470925170
75,EBay urges shareholders to vote against Icahn board nominees,The Globe and Mail,1394470925315
76,eBay asks stockholders to oppose Icahn nominees,Muckety,1394470925532
77,EBay says Carl Icahn's board picks 'not qualified',MarketWatch,1394470925702
78,McDonald's struggles worsened by snow,Bradenton Herald,1394471386119
79,Food: McDonald's game plan to win back customers,The News Herald,1394471386368
80,McDonald's Reports Drop In February Global Sales,KP Insider,1394471386527
81,McDonald's game plan to win back customers,The Advocate,1394471386695
82,McDonald's sales decline as chain looks to adapt to changing tastes,Newser,1394471386864
83,3 things to watch for as McDonald's fights to boost US sales,GlobalPost,1394471387049
84,McDonald's sales dip amid shifting eating habits,Ocala,1394471387309
85,"McDonald's sales dip amid shifting eating habits, worsened by snow",Deseret News,1394471387475
86,McDonald's February US sales chilled by weather,Tuscaloosa News \(subscription\),1394471387645
87,McDonald's US sales fall 1.4 per cent in February as chain looks to adapt to  ...,GlobalPost,1394471387813
88,McDonald's Corporation (MCD) February Sales Results Decline,ValueWalk,1394471387997
89,McDonald's sales decline as chain looks to adapt to changing tastes | The  ...,The Tribune,1394471388223
90,McDonald's to try build-your-own-burger menu,WRTV Indianapolis,1394471388416
91,McDonald's US sales continue to struggle in February,GMA News,1394471388592
92,$5 20-piece chicken nuggets didn't help McDonald's reverse US sales decline,MarketWatch \(blog\),1394471388727
93,Burn: McDonald's Business Did Not Heat Up in February,Wall St. Cheat Sheet,1394471388870
94,McDonald's February same-restaurant sales fall 0.3%,bnn.ca,1394471389022
95,McDonald's posts weak February sales results,Proactive Investors USA \& Canada,1394471389274
96,UPDATE 2-McDonald's US sales continue to struggle in February,Reuters,1394471389416
97,McDonald's Sales Slip as Americans' Eating Habits Shift,DailyFinance,1394471389602
98,"Five Guys, Chipotle continue to take bites out of McDonald's sales",Evansville Courier \& Press,1394471389786
99,McDonald's reports lower US sales amid bitter cold winter,The Star-Ledger,1394471389954
100,McDonald's Not Lovin' US Sales,The News Ledge,1394471390131
101,"McDonald's Reports a 0.3 Percent Drop in February Sales, U.S. Down 1.4 percent",Benzinga,1394471390541
102,"Fed official says weak data caused by weather, should not slow taper",Los Angeles Times,1394471434487.8
103,Fed's Charles Plosser sees high bar for change in pace of tapering,Livemint,1394471446316.78
104,US open: Stocks fall after Fed official hints at accelerated tapering,IFA Magazine,1394471458145.76
105,"Fed risks falling 'behind the curve', Charles Plosser says",IFA Magazine,1394471469974.75
106,Fed's Plosser: Nasty Weather Has Curbed Job Growth,Moneynews,1394471481803.73
107,Plosser: Fed May Have to Accelerate Tapering Pace,NASDAQ,1394471493632.72
108,Fed's Plosser: Taper pace may be too slow,MarketWatch,1394471505461.7
109,Fed's Plosser expects US unemployment to fall to 6.2% by the end of 2015,FXstreet.com,1394471517290.68
110,US jobs growth last month hit by weather:Fed President Charles Plosser,Economic Times,1394471529119.67
111,ECB unlikely to end sterilisation of SMP purchases - traders,Interactive Investor,1394471540948.65
112,ECB unlikely to end sterilization of SMP purchases: traders,Reuters India,1394471552777.64
113,EU's half-baked bank union could work,Reuters UK \(blog\),1394471564606.62
114,Europe reaches crunch point on banking union,Reuters,1394471576435.6
115,ECB FOCUS-Stronger euro drowns out ECB's message to keep rates low for  ...,Reuters,1394471588264.59
116,EU aims for deal on tackling failing banks,Oman Daily Observer,1394471600093.57
117,Forex - Pound drops to one-month lows against euro,NASDAQ,1394471611922.56
118,Noyer Says Strong Euro Creates Unwarranted Economic Pressure,San Francisco Chronicle,1394471623751.54
119,"EU Week Ahead March 10-14: Bank Resolution, Transparency, Ukraine",Wall Street Journal \(blog\),1394471635580.52
120,ECB member Noyer is 'very open to all kinds of tools',IFA Magazine,1394471647409.51
121,"Euro Anxieties Wane as Bunds Top Treasuries, Spain Debt Rallies",Businessweek,1394471659238.49
122,Noyer Says Strong Euro Creates Unwarranted Economic Pressure (1),Businessweek,1394471671067.48
123,Noyer Says Stronger Euro Creates Unwarranted Pressure on Economy,San Francisco Chronicle,1394471682896.46
124,Bad loan triggers key feature in ECB bank test announcement: sources,GlobalPost,1394471694725.44
125,"China's trade deficit and structural worries in Europe, among the main issues",FXstreet.com,1394471706554.43
126,11 Things You Need To Know This Morning,Business Insider,1394471718383.41
127,ECB's Noyer not Happy With Euro Strength -- Update,Wall Street Journal,1394471730212.4
128,Eurozone banks' sovereign exposure hits new high,Kathimerini,1394471742041.38
129,ECB to reveal bad loan hurdles for euro zone bank test,Irish Times,1394471753870.36
130,Forex Market: EUR/USD retreats from 2-1/2-year highs as stronger euro seen  ...,Binary Tribune,1394471765699.35
131,REFILE-Bad loan triggers key feature in ECB bank test announcement- sources,Reuters,1394471777528.33
132,UPDATE 1-ECB to reveal bad loan hurdles for euro zone bank test -sources,Reuters,1394471789357.32
133,ECB to reveal bad loan hurdles for euro zone bank test - sources,euronews,1394471801186.3
134,ECB requires tougher call on bad loan definition,IFA Magazine,1394471813015.28
135,ECB to reveal bad loan hurdles for bank tests?,RTE.ie,1394471824844.27
136,11 Things You Need To Know Before The Opening Bell,Businessinsider India,1394471836673.25
137,Central banks must contain threats from low prices: ECB's Noyer,Reuters,1394471848502.24
138,UPDATE 1-Central banks must contain threat from low prices -Noyer,Reuters,1394471860331.22
139,ECB's Noyer says 'not happy' with euro's rise,Reuters,1394471872160.2
140,ECB's Noyer: Low inflation may hamper adjustment,MarketWatch,1394471883989.19
141,ECB's Christian Noyer says 'not happy' with euro's rise,Economic Times,1394471895818.17
142,Sterling at one-month low as ECB policy stance lifts euro,Economic Times,1394471907647.16
143,EU aims for deal on tackling failing banks next week,MSN Money,1394471919476.14
144,Failing banks focus of EU talks,Irish Examiner,1394471931305.12
145,Business growth in euro zone rises to 32-month high,Oman Daily Observer,1394471943134.11
146,Poking the eurozone bear,European Voice,1394471954963.09
147,ECB Unlocks Door for Further Euro Strength - Will Data Allow?,DailyFX,1394471966792.07
148,Omega's Cooperman says eBay should spin off portion of PayPal: CNBC,Chicago Tribune,1394471978621.06
149,"EBay, Icahn talk smack",Seattle Post Intelligencer \(blog\),1394471990450.04
150,Both ways,Business Standard,1394472002279.03
151,Why eBay Spinning Off Paypal Makes Sense,DailyFinance,1394472014108.01
152,Carl Icahn Rift Hurts eBay (EBAY),TheStreet.com,1394472025936.99
153,EBay rejects Icahn slate of directors,News Sentinel,1394472037765.98
154,CARL ICAHN: eBay Shareholders Lost $4 Billion Because Of The CEO's  ...,Businessinsider India,1394472049594.96
155,Ebay to Shareholders: Vote Against Icahn Nominees,Fox Business,1394472061423.95
156,"EBay rejects Icahn board nominees, asks investors to do same",Reuters,1394472073252.93
157,Icahn Targets Ebay Chief Donahoe After Company Rejects Board Slate,Forbes,1394472085081.91
158,TECH STOCKS: EBay And Icahn Keep Trading Punches,Capital.gr \(press release\),1394472096910.9
159,EBay asks shareholders to vote against Carl Icahn board nominees,Economic Times,1394472108739.88
160,EBay asks shareholders to vote against Icahn board nominees,bnn.ca,1394472120568.87
161,EBay and Icahn keep trading punches,MarketWatch,1394472132397.85
162,EBay Rejects Icahn Board Picks As Activist Strikes Again,Law360 \(subscription\),1394472144226.83
163,EBay Asks Shareholders To Vote Against PayPal Split While Icahn Claims CEO  ...,TechCrunch,1394472156055.82
164,"EBay rejects Carl Icahn's director nominees, urges reelection of its 4 directors",GlobalPost,1394472167884.8
165,EBay CEO Donahoe's Pay Drops by 53% to $13.8 Million for 2014,Businessweek,1394472179713.79
166,eBay Rejects Carl Icahn's Board Nominees And Says His Attacks Are 'False And  ...,Businessinsider India,1394472191542.77
167,"EBay rejects Carl Icahn board nominees, asks investors to do same",Livemint,1394472203371.75
168,"eBay's John Donahoe talks Icahn, conflicts, and $100 stock price (someday)",Fortune,1394472215200.74
169,EBay urgest shareholders to reject Icahn's board nominees,CNBC.com,1394472227029.72
170,Carl Icahn slams eBay CEO,CITY A.M. \(blog\),1394472238858.71
171,Icahn Claims Inexcusable Incompetence of eBay CEO Cost Stockholders $4 Billion,Wall Street Pit,1394472250687.69
172,"EBay rejects Carl Icahn's director nominees, urges reelection of its 4 directors  ...",The Tribune,1394472262516.67
173,"UPDATE 1-EBay rejects Icahn board nominees, asks investors to do same",Reuters,1394472274345.66
174,"EBay rejects Icahn board nominees, urges investors to do same",The Globe and Mail,1394472286174.64
175,Carl Icahn: Donahoe Cost eBay Investors More Than $4B,ValueWalk,1394472298003.63
176,EBay urges shareholders to vote against Icahn board nominees,The Globe and Mail,1394472309832.61
177,eBay asks stockholders to oppose Icahn nominees,Muckety,1394472321661.59
178,EBay says Carl Icahn's board picks 'not qualified',MarketWatch,1394472333490.58
179,McDonald's struggles worsened by snow,Bradenton Herald,1394472345319.56
180,Food: McDonald's game plan to win back customers,The News Herald,1394472357148.55
181,McDonald's Reports Drop In February Global Sales,KP Insider,1394472368977.53
182,McDonald's game plan to win back customers,The Advocate,1394472380806.51
183,McDonald's sales decline as chain looks to adapt to changing tastes,Newser,1394472392635.5
184,4 things to watch for as McDonald's fights to boost US sales,GlobalPost,1394472404464.48
185,McDonald's sales dip amid shifting eating habits,Ocala,1394472416293.47
186,"McDonald's sales dip amid shifting eating habits, worsened by snow",Deseret News,1394472428122.45
187,McDonald's February US sales chilled by weather,Tuscaloosa News \(subscription\),1394472439951.43
188,McDonald's US sales fall 1.4 per cent in February as chain looks to adapt to  ...,GlobalPost,1394472451780.42
189,McDonald's Corporation (MCD) February Sales Results Decline,ValueWalk,1394472463609.4
190,McDonald's sales decline as chain looks to adapt to changing tastes | The  ...,The Tribune,1394472475438.39
191,McDonald's to try build-your-own-burger menu,WRTV Indianapolis,1394472487267.37
192,McDonald's US sales continue to struggle in February,GMA News,1394472499096.35
193,$5 20-piece chicken nuggets didn't help McDonald's reverse US sales decline,MarketWatch \(blog\),1394472510925.34
194,Burn: McDonald's Business Did Not Heat Up in February,Wall St. Cheat Sheet,1394472522754.32
195,McDonald's February same-restaurant sales fall 0.3%,bnn.ca,1394472534583.31
196,McDonald's posts weak February sales results,Proactive Investors USA \& Canada,1394472546412.29
197,UPDATE 2-McDonald's US sales continue to struggle in February,Reuters,1394472558241.27
198,McDonald's Sales Slip as Americans' Eating Habits Shift,DailyFinance,1394472570070.26
